State,State,Total citizen,Total  ,Percent registered (18+),moe_reg_total,Total  ,Percent voted (18+),moe_vot_total
OKLAHOMA,.75+,204,174,83,6.2,145,69.5,7.6
OREGON,.18 to 24,280,167,56.1,6.7,140,47.2,6.7
OREGON,.25 to 44,974,722,68.4,3.3,669,63.4,3.5
OREGON,.45 to 64,876,750,83.4,2.9,723,80.4,3.1
OREGON,.65 to 74,250,214,84,5.4,209,82.2,5.6
OREGON,.75+,221,196,89,4.9,183,83,5.9
PENNSYLVANIA,.Total,"9,055","6,481",69.3,1.4,"5,845",62.5,1.4
PENNSYLVANIA,.25 to 44,"3,101","2,214",68,2.4,"1,958",60.1,2.5
PENNSYLVANIA,.45 to 64,"3,199","2,429",74.2,2.2,"2,280",69.6,2.3
PENNSYLVANIA,.65 to 74,863,658,75.3,4.2,619,70.8,4.4
PENNSYLVANIA,.75+,844,632,74.5,4.3,540,63.7,4.8
RHODE ISLAND,.Total,732,522,64.2,1.9,467,57.4,2
RHODE ISLAND,.18 to 24,78,38,(B),(B),34,(B),(B)
RHODE ISLAND,.45 to 64,239,188,72.3,3.1,173,66.6,3.3
RHODE ISLAND,.65 to 74,74,61,(B),(B),56,(B),(B)
RHODE ISLAND,.75+,74,57,(B),(B),50,(B),(B)
SOUTH CAROLINA,.18 to 24,350,199,55.8,6.8,153,42.8,6.7
SOUTH CAROLINA,.25 to 44,"1,116",794,68.6,3.5,664,57.3,3.7
SOUTH CAROLINA,.45 to 64,"1,021",810,78.7,3.3,731,71,3.6
SOUTH CAROLINA,.75+,241,202,83.9,6.1,151,62.6,8
SOUTH DAKOTA,.Total,554,425,75.5,1.8,378,67.1,2
SOUTH DAKOTA,.25 to 44,191,136,69.2,3.4,114,58.2,3.6
SOUTH DAKOTA,.45 to 64,192,158,81.2,2.9,148,76.2,3.1
SOUTH DAKOTA,.65 to 74,46,42,(B),(B),41,(B),(B)
SOUTH DAKOTA,.75+,45,38,(B),(B),35,(B),(B)
TENNESSEE,.18 to 24,636,304,44.3,6.2,243,35.4,6
TENNESSEE,.45 to 64,"1,459","1,073",72.6,3.8,957,64.8,4.1
TENNESSEE,.65 to 74,449,335,74.7,6.7,291,64.8,7.4
TENNESSEE,.75+,259,179,69.4,9.4,134,51.9,10.2
TEXAS,.18 to 24,"1,841",990,46.7,3.6,709,33.5,3.4
TEXAS,.25 to 44,"5,482","3,680",55.4,2,"2,897",43.6,2
TEXAS,.75+,941,728,73.8,4.6,602,61.1,5.1
UTAH,.Total,"1,508","1,141",70.1,2.2,"1,022",62.8,2.3
UTAH,.25 to 44,610,448,65.4,3.5,404,59,3.6
UTAH,.45 to 64,396,321,77,3.9,289,69.3,4.3
UTAH,.65 to 74,118,110,89.4,5.3,106,86.5,5.9
UTAH,.75+,97,84,(B),(B),78,(B),(B)
VERMONT,.45 to 64,165,136,81.8,2.8,127,76.2,3.1
VERMONT,.65 to 74,45,36,(B),(B),33,(B),(B)
VERMONT,.75+,42,36,(B),(B),30,(B),(B)
VIRGINIA,.Total,"4,971","3,441",64.1,2.1,"3,134",58.4,2.2
VIRGINIA,.18 to 24,536,260,45,6.7,215,37.2,6.5
VIRGINIA,.45 to 64,"1,735","1,305",71.6,3.4,"1,243",68.2,3.5
VIRGINIA,.75+,320,259,78.7,7.3,217,66.1,8.5
WASHINGTON,.Total,"4,220","3,133",68.2,2,"2,851",62,2.1
WASHINGTON,.18 to 24,482,318,58.5,6.3,262,48.2,6.4
WASHINGTON,.25 to 44,"1,568","1,084",60.4,3.4,948,52.8,3.5
WASHINGTON,.45 to 64,"1,603","1,274",76.2,3.1,"1,198",71.7,3.3
WASHINGTON,.65 to 74,298,242,78.3,7,239,77.5,7.1
WEST VIRGINIA,.Total,"1,394",935,67,2.1,798,57.2,2.2
