STATE,STATE,Total,Percent citizen,Confidence interval,Total,Percent registered (18+),Confidence interval,Total,Percent voted (18+),Confidence interval
LOUISIANA,.25 to 44,"1,275",97.7,1.2,985,75.5,3.4,843,64.6,3.8
LOUISIANA,.45 to 64,862,99.4,0.8,698,80.5,3.9,634,73.2,4.4
LOUISIANA,.65 to 74,290,100.0,0.0,248,85.6,6.0,227,78.1,7.0
LOUISIANA,.75+,226,100.0,0.0,182,80.5,7.6,134,59.4,9.5
MAINE,.Total,966,98.7,0.7,786,80.3,2.3,677,69.2,2.7
MAINE,.18 to 24,108,100.0,0.0,64,59.4,8.5,55,50.8,8.7
MAINE,.25 to 44,383,99.3,0.8,309,80.1,3.7,256,66.3,4.3
MAINE,.45 to 64,312,98.1,1.4,268,84.3,3.7,239,75.0,4.4
MAINE,.65 to 74,96,(B),(B),89,(B),(B),81,(B),(B)
MAINE,.75+,67,(B),(B),56,(B),(B),48,(B),(B)
MARYLAND,.Total,"3,565",93.5,1.4,"2,499",65.6,2.7,"2,178",57.1,2.8
MARYLAND,.18 to 24,375,88.9,5.4,208,49.3,8.5,145,34.3,8.1
MARYLAND,.25 to 44,"1,420",90.3,2.6,939,59.7,4.3,761,48.4,4.4
MARYLAND,.45 to 64,"1,132",97.2,1.7,885,75.9,4.4,836,71.8,4.6
MARYLAND,.65 to 74,360,96.3,3.4,265,70.9,8.2,251,67.2,8.5
MARYLAND,.75+,279,100.0,0.0,203,72.7,9.3,186,66.6,9.9
MASSACHUSETTS,.Total,"4,246",92.0,1.1,"3,244",70.3,1.8,"2,772",60.1,1.9
MASSACHUSETTS,.18 to 24,468,88.3,3.8,271,51.1,5.8,189,35.6,5.6
MASSACHUSETTS,.25 to 44,"1,640",88.1,2.0,"1,156",62.1,3.0,970,52.1,3.1
MASSACHUSETTS,.45 to 64,"1,314",95.5,1.5,"1,088",79.0,2.9,977,71.0,3.3
MASSACHUSETTS,.65 to 74,404,97.3,2.2,358,86.2,4.6,325,78.3,5.4
MASSACHUSETTS,.75+,419,97.5,2.0,370,86.1,4.5,310,72.1,5.8
MICHIGAN,.Total,"6,963",96.3,0.6,"4,996",69.1,1.6,"4,343",60.1,1.7
MICHIGAN,.18 to 24,930,96.2,1.8,474,49.0,4.6,349,36.0,4.4
MICHIGAN,.25 to 44,"2,864",94.7,1.2,"2,037",67.4,2.4,"1,745",57.7,2.6
MICHIGAN,.45 to 64,"2,050",97.3,1.0,"1,596",75.8,2.7,"1,429",67.8,2.9
MICHIGAN,.65 to 74,580,98.0,1.6,454,76.8,5.0,420,71.0,5.3
MICHIGAN,.75+,540,99.3,1.0,435,80.0,4.9,401,73.7,5.4
MINNESOTA,.Total,"3,407",97.2,0.9,"2,688",76.7,2.2,"2,376",67.8,2.5
MINNESOTA,.18 to 24,460,96.1,2.8,255,53.2,7.1,213,44.5,7.1
MINNESOTA,.25 to 44,"1,344",95.6,1.7,"1,026",72.9,3.7,886,63.0,4.0
MINNESOTA,.45 to 64,"1,116",98.3,1.2,980,86.4,3.2,902,79.5,3.8
MINNESOTA,.65 to 74,253,100.0,0.0,225,89.2,6.1,202,79.8,7.9
MINNESOTA,.75+,233,100.0,0.0,202,86.7,7.0,174,74.5,8.9
MISSISSIPPI,.Total,"2,001",98.6,0.6,"1,465",72.2,2.4,"1,213",59.8,2.6
MISSISSIPPI,.18 to 24,295,98.6,1.6,172,57.5,6.8,128,42.9,6.8
MISSISSIPPI,.25 to 44,752,97.6,1.3,525,68.3,4.0,405,52.6,4.3
MISSISSIPPI,.45 to 64,589,99.0,1.0,457,76.9,4.1,417,70.1,4.5
MISSISSIPPI,.65 to 74,210,100.0,0.0,165,78.8,6.7,142,67.8,7.7
MISSISSIPPI,.75+,156,100.0,0.0,145,92.8,4.9,121,77.6,7.9
MISSOURI,.Total,"3,987",98.1,0.8,"3,023",74.3,2.4,"2,659",65.4,2.6
MISSOURI,.18 to 24,502,98.3,2.0,216,42.4,7.6,154,30.1,7.1
MISSOURI,.25 to 44,"1,562",97.0,1.5,"1,125",69.9,4.0,970,60.3,4.3
MISSOURI,.45 to 64,"1,191",99.0,1.0,"1,038",86.3,3.5,950,79.0,4.1
MISSOURI,.65 to 74,440,99.3,1.4,383,86.4,5.7,361,81.4,6.4
MISSOURI,.75+,292,97.5,3.2,260,86.7,6.8,224,74.6,8.8
MONTANA,.Total,650,98.9,0.5,461,70.0,2.4,409,62.2,2.5
MONTANA,.18 to 24,77,(B),(B),46,(B),(B),32,(B),(B)
MONTANA,.25 to 44,251,99.1,0.8,161,63.5,4.0,137,54.2,4.1
MONTANA,.45 to 64,204,98.2,1.2,158,76.3,3.9,149,71.6,4.1
MONTANA,.65 to 74,65,(B),(B),51,(B),(B),49,(B),(B)
MONTANA,.75+,54,(B),(B),44,(B),(B),42,(B),(B)
NEBRASKA,.Total,"1,176",97.6,0.8,865,71.8,2.5,710,58.9,2.7
NEBRASKA,.18 to 24,172,96.6,2.6,85,47.9,7.2,56,31.1,6.7
NEBRASKA,.25 to 44,419,96.6,1.7,291,67.0,4.3,222,51.2,4.6
NEBRASKA,.45 to 64,366,98.1,1.3,296,79.2,4.0,258,69.2,4.6
NEBRASKA,.65 to 74,117,99.3,1.5,101,85.2,6.3,92,78.3,7.3
NEBRASKA,.75+,101,100.0,0.0,92,91.5,5.3,81,80.7,7.6
NEVADA,.Total,"1,229",89.3,1.6,720,52.3,2.7,641,46.5,2.6
NEVADA,.18 to 24,134,82.4,5.9,50,31.1,7.2,42,25.8,6.8
NEVADA,.25 to 44,514,85.8,2.8,275,45.9,4.0,230,38.4,3.9
NEVADA,.45 to 64,402,93.6,2.3,257,59.7,4.7,238,55.4,4.7
NEVADA,.65 to 74,109,96.3,3.5,85,75.0,8.0,79,70.1,8.5
NEVADA,.75+,71,(B),(B),54,(B),(B),51,(B),(B)
NEW HAMPSHIRE,.Total,857,95.0,1.3,628,69.6,2.8,571,63.3,2.9
NEW HAMPSHIRE,.18 to 24,82,(B),(B),35,(B),(B),28,(B),(B)
NEW HAMPSHIRE,.25 to 44,366,94.7,2.1,264,68.2,4.3,239,61.8,4.5
NEW HAMPSHIRE,.45 to 64,266,93.9,2.6,207,73.1,4.8,194,68.4,5.1
NEW HAMPSHIRE,.65 to 74,72,(B),(B),61,(B),(B),61,(B),(B)
NEW HAMPSHIRE,.75+,71,(B),(B),60,(B),(B),49,(B),(B)
NEW JERSEY,.Total,"5,458",89.3,1.1,"3,859",63.2,1.7,"3,374",55.2,1.7
NEW JERSEY,.18 to 24,632,88.7,3.2,327,45.9,5.0,225,31.6,4.7
NEW JERSEY,.25 to 44,"2,081",84.1,2.0,"1,446",58.5,2.7,"1,252",50.6,2.7
NEW JERSEY,.45 to 64,"1,711",91.8,1.7,"1,302",69.9,2.9,"1,202",64.5,3.0
NEW JERSEY,.65 to 74,520,97.2,1.9,379,70.8,5.3,356,66.5,5.5
NEW JERSEY,.75+,514,98.3,1.5,404,77.3,4.9,338,64.6,5.6
NEW MEXICO,.Total,"1,188",94.3,1.2,750,59.5,2.6,647,51.3,2.6
NEW MEXICO,.18 to 24,162,94.9,3.1,57,33.4,6.8,39,23.0,6.0
NEW MEXICO,.25 to 44,462,91.1,2.4,266,52.5,4.2,231,45.6,4.1
NEW MEXICO,.45 to 64,361,96.2,1.8,268,71.5,4.4,244,65.1,4.6
NEW MEXICO,.65 to 74,111,96.8,3.1,91,79.9,7.0,80,69.8,8.0
NEW MEXICO,.75+,93,(B),(B),68,(B),(B),52,(B),(B)
NEW YORK,.Total,"11,877",86.5,0.8,"8,047",58.6,1.2,"7,004",51.0,1.2
NEW YORK,.18 to 24,"1,486",84.7,2.4,711,40.6,3.3,504,28.7,3.0
NEW YORK,.25 to 44,"4,607",82.5,1.4,"3,138",56.2,1.9,"2,662",47.6,1.9
NEW YORK,.45 to 64,"3,662",89.3,1.4,"2,621",63.9,2.1,"2,421",59.0,2.2
NEW YORK,.65 to 74,"1,144",91.1,2.3,847,67.5,3.7,787,62.7,3.8
NEW YORK,.75+,979,95.2,1.9,728,70.8,4.0,631,61.3,4.3
NORTH CAROLINA,.Total,"5,335",94.8,0.9,"3,720",66.1,1.8,"2,995",53.2,1.9
NORTH CAROLINA,.18 to 24,653,88.6,3.4,331,44.9,5.3,200,27.2,4.7
NORTH CAROLINA,.25 to 44,"2,164",93.0,1.5,"1,484",63.8,2.9,"1,174",50.5,3.0
NORTH CAROLINA,.45 to 64,"1,673",97.7,1.0,"1,262",73.7,3.1,"1,083",63.3,3.4
NORTH CAROLINA,.65 to 74,453,98.5,1.7,367,79.7,5.4,321,69.8,6.2
NORTH CAROLINA,.75+,392,99.3,1.2,276,70.0,6.7,216,54.9,7.2
NORTH DAKOTA,.Total,445,99.0,0.6,409,91.1,1.6,313,69.8,2.6
NORTH DAKOTA,.18 to 24,58,(B),(B),51,(B),(B),34,(B),(B)
NORTH DAKOTA,.25 to 44,171,98.7,1.0,153,88.1,2.9,113,65.3,4.3
NORTH DAKOTA,.45 to 64,134,99.1,1.0,128,94.6,2.3,106,78.7,4.2
NORTH DAKOTA,.65 to 74,43,(B),(B),41,(B),(B),32,(B),(B)
NORTH DAKOTA,.75+,39,(B),(B),37,(B),(B),28,(B),(B)
OHIO,.Total,"8,143",98.1,0.5,"5,561",67.0,1.6,"4,823",58.1,1.6
OHIO,.18 to 24,"1,009",97.7,1.4,530,51.3,4.7,382,37.0,4.5
OHIO,.25 to 44,"3,162",97.3,0.9,"2,071",63.7,2.5,"1,799",55.3,2.6
OHIO,.45 to 64,"2,392",98.7,0.7,"1,774",73.2,2.7,"1,605",66.2,2.9
OHIO,.65 to 74,850,99.2,0.9,662,77.3,4.3,598,69.8,4.7
OHIO,.75+,730,99.1,1.1,524,71.1,5.0,439,59.6,5.4
OKLAHOMA,.Total,"2,400",97.7,0.8,"1,679",68.3,2.4,"1,431",58.3,2.5
OKLAHOMA,.18 to 24,300,96.5,2.7,163,52.5,7.2,108,34.8,6.8
OKLAHOMA,.25 to 44,832,96.0,1.7,526,60.7,4.2,432,49.8,4.3
OKLAHOMA,.45 to 64,817,98.8,0.9,619,74.9,3.8,563,68.2,4.1
OKLAHOMA,.65 to 74,238,100.0,0.0,203,85.3,5.8,192,80.4,6.5
OKLAHOMA,.75+,213,99.1,1.6,167,77.8,7.2,136,63.5,8.3
OREGON,.Total,"2,295",91.3,1.6,"1,714",68.2,2.6,"1,529",60.8,2.7
OREGON,.18 to 24,246,83.1,6.0,148,49.7,8.0,101,34.2,7.6
OREGON,.25 to 44,872,88.2,2.8,677,68.4,4.1,586,59.2,4.3
OREGON,.45 to 64,825,95.1,2.0,602,69.4,4.3,565,65.1,4.5
OREGON,.65 to 74,201,97.9,2.8,163,79.3,7.8,154,74.9,8.3
OREGON,.75+,150,96.3,4.2,125,80.1,8.8,123,78.8,9.0
PENNSYLVANIA,.Total,"8,687",97.1,0.5,"5,847",65.3,1.5,"4,988",55.7,1.5
PENNSYLVANIA,.18 to 24,"1,041",96.4,1.7,505,46.7,4.4,331,30.6,4.1
PENNSYLVANIA,.25 to 44,"3,060",95.6,1.1,"1,972",61.6,2.5,"1,598",49.9,2.6
PENNSYLVANIA,.45 to 64,"2,860",97.8,0.8,"2,107",72.1,2.4,"1,947",66.6,2.5
PENNSYLVANIA,.65 to 74,933,98.7,1.1,710,75.1,4.1,648,68.6,4.4
PENNSYLVANIA,.75+,793,99.2,0.9,553,69.2,4.8,463,58.0,5.1
RHODE ISLAND,.Total,690,94.6,1.4,508,69.7,2.8,438,60.1,3.0
RHODE ISLAND,.18 to 24,64,(B),(B),34,(B),(B),26,(B),(B)
RHODE ISLAND,.25 to 44,263,94.4,2.2,189,67.8,4.6,159,57.0,4.8
RHODE ISLAND,.45 to 64,226,95.3,2.2,171,72.1,4.7,154,65.1,5.0
RHODE ISLAND,.65 to 74,58,(B),(B),47,(B),(B),43,(B),(B)
RHODE ISLAND,.75+,79,(B),(B),66,(B),(B),55,(B),(B)
SOUTH CAROLINA,.Total,"2,897",98.9,0.6,"1,993",68.0,2.6,"1,725",58.9,2.7
SOUTH CAROLINA,.18 to 24,376,98.6,1.8,198,52.1,7.7,143,37.5,7.4
SOUTH CAROLINA,.25 to 44,976,98.8,1.0,623,63.1,4.6,548,55.4,4.7
SOUTH CAROLINA,.45 to 64,980,98.8,1.0,726,73.2,4.2,654,65.9,4.5
SOUTH CAROLINA,.65 to 74,345,100.0,0.0,282,81.7,6.2,257,74.6,7.0
SOUTH CAROLINA,.75+,220,98.8,2.2,163,73.3,8.9,123,55.1,10.0
SOUTH DAKOTA,.Total,525,99.1,0.5,376,70.9,2.4,311,58.7,2.6
SOUTH DAKOTA,.18 to 24,76,(B),(B),35,(B),(B),18,(B),(B)
SOUTH DAKOTA,.25 to 44,206,98.1,1.2,143,68.2,4.0,118,56.2,4.2
SOUTH DAKOTA,.45 to 64,156,99.7,0.5,124,79.7,4.0,109,69.8,4.5
SOUTH DAKOTA,.65 to 74,48,(B),(B),42,(B),(B),38,(B),(B)
SOUTH DAKOTA,.75+,38,(B),(B),31,(B),(B),27,(B),(B)
TENNESSEE,.Total,"4,067",97.4,0.8,"2,590",62.1,2.6,"2,183",52.3,2.7
TENNESSEE,.18 to 24,576,95.1,3.0,204,33.8,6.6,139,22.9,5.9
TENNESSEE,.25 to 44,"1,570",96.1,1.7,991,60.7,4.2,838,51.3,4.3
TENNESSEE,.45 to 64,"1,306",99.0,0.9,976,74.1,4.2,826,62.6,4.6
TENNESSEE,.65 to 74,375,100.0,0.0,259,69.1,8.2,245,65.5,8.4
TENNESSEE,.75+,240,100.0,0.0,159,66.2,10.5,136,56.5,11.0
TEXAS,.Total,"12,937",89.0,0.9,"8,929",61.4,1.3,"7,005",48.2,1.4
TEXAS,.18 to 24,"2,008",86.8,2.3,"1,088",47.0,3.4,644,27.9,3.1
TEXAS,.25 to 44,"5,359",85.4,1.5,"3,649",58.1,2.0,"2,824",45.0,2.1
TEXAS,.45 to 64,"3,693",92.3,1.4,"2,750",68.7,2.4,"2,324",58.1,2.6
TEXAS,.65 to 74,"1,099",96.0,1.9,870,76.0,4.1,757,66.1,4.6
TEXAS,.75+,778,97.5,1.8,572,71.7,5.2,456,57.1,5.7
UTAH,.Total,"1,378",93.6,1.2,953,64.7,2.4,829,56.3,2.5
UTAH,.18 to 24,251,91.1,3.4,122,44.5,5.8,100,36.5,5.7
UTAH,.25 to 44,578,92.2,2.1,379,60.5,3.8,316,50.4,3.9
UTAH,.45 to 64,399,96.4,1.8,322,77.7,4.0,298,72.0,4.3
UTAH,.65 to 74,78,(B),(B),71,(B),(B),68,(B),(B)
UTAH,.75+,73,(B),(B),58,(B),(B),47,(B),(B)
VERMONT,.Total,451,98.5,0.7,330,72.0,2.7,290,63.3,2.8
VERMONT,.18 to 24,47,(B),(B),19,(B),(B),14,(B),(B)
VERMONT,.25 to 44,165,96.9,1.7,114,66.9,4.6,100,58.6,4.8
VERMONT,.45 to 64,157,99.2,0.9,130,82.0,3.9,118,74.6,4.4
VERMONT,.65 to 74,44,(B),(B),35,(B),(B),32,(B),(B)
VERMONT,.75+,38,(B),(B),32,(B),(B),26,(B),(B)
VIRGINIA,.Total,"4,912",94.9,1.1,"3,317",64.1,2.4,"2,962",57.2,2.5
VIRGINIA,.18 to 24,468,89.9,4.8,253,48.6,7.9,200,38.5,7.7
VIRGINIA,.25 to 44,"2,050",92.8,2.0,"1,316",59.6,3.8,"1,157",52.4,3.9
VIRGINIA,.45 to 64,"1,571",97.7,1.4,"1,165",72.5,4.0,"1,073",66.8,4.3
VIRGINIA,.65 to 74,446,97.3,2.8,328,71.5,7.6,317,69.2,7.8
VIRGINIA,.75+,377,98.9,2.0,256,67.0,8.7,215,56.3,9.2
WASHINGTON,.Total,"4,078",94.5,1.2,"2,852",66.1,2.6,"2,527",58.6,2.7
WASHINGTON,.18 to 24,538,95.2,3.3,300,53.1,7.6,215,38.1,7.4
WASHINGTON,.25 to 44,"1,655",93.2,2.2,"1,121",63.1,4.1,978,55.1,4.3
WASHINGTON,.45 to 64,"1,244",94.3,2.3,918,69.6,4.6,864,65.5,4.7
WASHINGTON,.65 to 74,295,97.1,3.5,220,72.4,9.3,209,68.6,9.6
WASHINGTON,.75+,347,99.2,1.8,293,83.9,7.1,261,74.6,8.4
WEST VIRGINIA,.Total,"1,397",99.4,0.4,886,63.1,2.4,732,52.1,2.5
WEST VIRGINIA,.18 to 24,182,100.0,0.0,94,52.0,6.8,59,32.7,6.4
WEST VIRGINIA,.25 to 44,521,99.4,0.6,321,61.2,3.9,269,51.3,4.0
WEST VIRGINIA,.45 to 64,418,98.9,0.9,274,64.9,4.3,231,54.6,4.5
WEST VIRGINIA,.65 to 74,144,100.0,0.0,108,74.4,6.7,97,67.0,7.2
WEST VIRGINIA,.75+,131,100.0,0.0,89,68.0,7.5,75,57.4,8.0
